step,method,microbatch_mean_loss,valid_tokens,grad_norm,probe_loss
1,mean_of_means,3.599144458770752,20,2.517302877726285,3.287287473678589
1,token_weighted,3.599144458770752,20,2.0421951750033718,3.2822797298431396
2,mean_of_means,3.6305607557296753,20,2.6977921087485868,2.880945920944214
2,token_weighted,3.495538830757141,20,2.0948603757455566,2.86910343170166
3,mean_of_means,3.0863616466522217,20,2.6648014386233245,2.5405170917510986
3,token_weighted,2.980551600456238,20,2.0490528122540264,2.3873789310455322
4,mean_of_means,3.1607167720794678,20,2.4677449647842535,2.3639872074127197
4,token_weighted,3.059321165084839,20,2.0394116985157527,2.1283645629882812
5,mean_of_means,3.4260436296463013,20,2.8787362464275836,2.7092978954315186
5,token_weighted,3.264731764793396,20,1.886964358422546,2.2424769401550293
6,mean_of_means,2.8674651384353638,20,2.4421188706943635,2.795503854751587
6,token_weighted,2.8126018047332764,20,1.9864455753666046,2.359180212020874
7,mean_of_means,3.6963456869125366,20,2.8478140674226116,2.6402156352996826
7,token_weighted,3.0563970804214478,20,2.126006017298766,2.4002325534820557
8,mean_of_means,2.957606554031372,20,2.690074298755688,2.6125190258026123
8,token_weighted,2.777103304862976,20,1.8655552647576408,2.4253902435302734
9,mean_of_means,2.81804096698761,20,2.3184700281563737,2.620305061340332
9,token_weighted,2.7463531494140625,20,1.7963273660232217,2.475754976272583
10,mean_of_means,2.470626711845398,20,2.5592773708360315,2.7160489559173584
10,token_weighted,2.5215426683425903,20,1.9115445571211076,2.5866129398345947
11,mean_of_means,3.1027228832244873,20,2.7953826396953807,2.7638566493988037
11,token_weighted,2.7224621772766113,20,1.9501942456228296,2.5476086139678955
12,mean_of_means,3.067153573036194,20,2.5906864541857804,2.462538003921509
12,token_weighted,2.661020517349243,20,1.9128202826267466,2.4891488552093506
13,mean_of_means,2.9008618593215942,20,2.2086686684939862,2.3542959690093994
13,token_weighted,2.692636013031006,20,1.8421246132475784,2.4429686069488525
14,mean_of_means,3.0838695764541626,20,2.890652274372812,2.236415147781372
14,token_weighted,2.6701265573501587,20,2.0717436447334343,2.345677137374878
15,mean_of_means,2.3276658058166504,20,2.370767398192686,1.9476618766784668
15,token_weighted,2.2363195419311523,20,1.8124852245392438,1.9901918172836304
16,mean_of_means,2.968547821044922,20,2.804841589225056,2.0363779067993164
16,token_weighted,3.127917528152466,20,2.4034213325479197,1.927846074104309
17,mean_of_means,2.2064281702041626,20,2.345624827930175,2.026787519454956
17,token_weighted,2.3535889387130737,20,2.187722990884474,1.8860082626342773
18,mean_of_means,2.3426378965377808,20,2.533099319637941,2.0425517559051514
18,token_weighted,2.1556442975997925,20,2.0675968915864478,1.9713457822799683
19,mean_of_means,3.816879153251648,20,3.42654569522216,2.273165702819824
19,token_weighted,3.3209946155548096,20,2.3817056728743315,2.151987075805664
20,mean_of_means,2.7457540035247803,20,2.4176412708465884,2.329371929168701
20,token_weighted,2.4830541610717773,20,2.009366800392793,2.2231810092926025
21,mean_of_means,2.7470282316207886,20,2.6829820922821654,2.4020588397979736
21,token_weighted,2.397948384284973,20,1.987703459804245,2.2415807247161865
22,mean_of_means,3.162830948829651,20,2.544749532992525,2.3255014419555664
22,token_weighted,2.7166982889175415,20,2.0927241473828366,2.2411396503448486
23,mean_of_means,2.729161262512207,20,2.4188855808218257,2.527445077896118
23,token_weighted,2.3267165422439575,20,1.9652277339781108,2.534501791000366
24,mean_of_means,2.4727141857147217,20,2.2051421265382998,2.6745965480804443
24,token_weighted,2.25319504737854,20,1.96575711460097,2.4276087284088135
25,mean_of_means,2.76471209526062,20,2.9888653192967367,2.5976784229278564
25,token_weighted,2.3295704126358032,20,2.1032891963793023,2.4240005016326904
26,mean_of_means,2.755492687225342,20,2.3648585776791085,2.4247028827667236
26,token_weighted,2.2790228128433228,20,2.2523428493318747,2.4856231212615967
27,mean_of_means,2.8655706644058228,20,2.8423142924811713,2.4422943592071533
27,token_weighted,2.352725028991699,20,2.1450670683920867,2.217785358428955
28,mean_of_means,3.1080422401428223,20,2.684993804356174,2.1264092922210693
28,token_weighted,2.567909359931946,20,2.0371753026850556,1.87260901927948
29,mean_of_means,2.8895493745803833,20,2.558937470516006,2.087589740753174
29,token_weighted,2.495331287384033,20,1.92951395051248,1.9288383722305298
30,mean_of_means,2.7509965896606445,20,2.6660691888200225,1.989682674407959
30,token_weighted,1.9919887781143188,20,1.880025588704202,1.802731990814209
31,mean_of_means,2.5569757223129272,20,2.68303783995792,2.0530502796173096
31,token_weighted,1.9668868780136108,20,1.9551358719226686,1.6444875001907349
32,mean_of_means,2.431505799293518,20,2.2788556074599002,1.8539057970046997
