step,train_loss,probe_loss,curve_loss,lr,lr_multiplier,schedule,width,seed,base_lr
1,3.4419162273406982,3.4589593410491943,3.4589593410491943,0.00016666666666666666,0.16666666666666666,cosine,256,10,0.001
2,3.650416851043701,,3.650416851043701,0.0003333333333333333,0.3333333333333333,cosine,256,10,0.001
3,3.483672618865967,,3.483672618865967,0.0005,0.5,cosine,256,10,0.001
4,3.2958991527557373,,3.2958991527557373,0.0006666666666666666,0.6666666666666666,cosine,256,10,0.001
5,2.892960786819458,,2.892960786819458,0.0008333333333333334,0.8333333333333334,cosine,256,10,0.001
6,2.6829769611358643,,2.6829769611358643,0.001,1.0,cosine,256,10,0.001
7,2.8788440227508545,,2.8788440227508545,0.0009999743088544126,0.9999743088544125,cosine,256,10,0.001
8,2.744805097579956,,2.744805097579956,0.0009998972383511385,0.9998972383511385,cosine,256,10,0.001
9,2.5087082386016846,,2.5087082386016846,0.0009997687972903096,0.9997687972903095,cosine,256,10,0.001
10,2.536996603012085,2.2398259043693542,2.2398259043693542,0.0009995890003376942,0.9995890003376942,cosine,256,10,0.001
11,2.2955727577209473,,2.2955727577209473,0.0009993578680230245,0.9993578680230245,cosine,256,10,0.001
12,2.4432477951049805,,2.4432477951049805,0.0009990754267376514,0.9990754267376514,cosine,256,10,0.001
13,2.268630266189575,,2.268630266189575,0.000998741708731531,0.998741708731531,cosine,256,10,0.001
14,2.379692554473877,,2.379692554473877,0.0009983567521095432,0.9983567521095431,cosine,256,10,0.001
15,2.0560595989227295,,2.0560595989227295,0.0009979206008271391,0.9979206008271392,cosine,256,10,0.001
16,2.083481550216675,,2.083481550216675,0.000997433304685324,0.9974333046853241,cosine,256,10,0.001
17,2.0582799911499023,,2.0582799911499023,0.0009968949193249696,0.9968949193249695,cosine,256,10,0.001
18,2.1436667442321777,,2.1436667442321777,0.0009963055062204608,0.9963055062204608,cosine,256,10,0.001
19,1.8251780271530151,,1.8251780271530151,0.000995665132672677,0.9956651326726771,cosine,256,10,0.001
20,1.9541507959365845,1.7612468600273132,1.7612468600273132,0.000994973871801308,0.9949738718013078,cosine,256,10,0.001
21,1.9453701972961426,,1.9453701972961426,0.0009942318025365027,0.9942318025365027,cosine,256,10,0.001
22,1.9517979621887207,,1.9517979621887207,0.0009934390096098592,0.9934390096098591,cosine,256,10,0.001
23,1.5858399868011475,,1.5858399868011475,0.0009925955835447487,0.9925955835447487,cosine,256,10,0.001
24,1.7753475904464722,,1.7753475904464722,0.0009917016206459795,0.9917016206459794,cosine,256,10,0.001
25,1.9960732460021973,,1.9960732460021973,0.0009907572229888,0.9907572229888,cosine,256,10,0.001
26,1.5012505054473877,,1.5012505054473877,0.0009897624984072447,0.9897624984072447,cosine,256,10,0.001
27,1.6412562131881714,,1.6412562131881714,0.0009887175604818205,0.9887175604818206,cosine,256,10,0.001
28,1.718597412109375,,1.718597412109375,0.000987622528526538,0.987622528526538,cosine,256,10,0.001
29,1.8371607065200806,,1.8371607065200806,0.0009864775275752876,0.9864775275752876,cosine,256,10,0.001
30,1.3932673931121826,1.5014806687831879,1.5014806687831879,0.0009852826883675633,0.9852826883675633,cosine,256,10,0.001
31,1.7144967317581177,,1.7144967317581177,0.000984038147333534,0.9840381473335341,cosine,256,10,0.001
32,1.7340514659881592,,1.7340514659881592,0.0009827440465784664,0.9827440465784664,cosine,256,10,0.001
33,1.8108901977539062,,1.8108901977539062,0.0009814005338664973,0.9814005338664973,cosine,256,10,0.001
34,1.425794243812561,,1.425794243812561,0.0009800077626037633,0.9800077626037633,cosine,256,10,0.001
35,1.7343723773956299,,1.7343723773956299,0.0009785658918208835,0.9785658918208835,cosine,256,10,0.001
36,1.622032642364502,,1.622032642364502,0.000977075086154801,0.9770750861548009,cosine,256,10,0.001
37,1.474578857421875,,1.474578857421875,0.000975535515829984,0.975535515829984,cosine,256,10,0.001
38,1.3165860176086426,,1.3165860176086426,0.00097394735663899,0.97394735663899,cosine,256,10,0.001
39,1.6366556882858276,,1.6366556882858276,0.0009723107899223921,0.9723107899223922,cosine,256,10,0.001
40,1.6226370334625244,1.4498473107814789,1.4498473107814789,0.000970626002548074,0.970626002548074,cosine,256,10,0.001
41,1.2202649116516113,,1.2202649116516113,0.0009688931868898919,0.9688931868898919,cosine,256,10,0.001
42,1.6354012489318848,,1.6354012489318848,0.0009671125408057098,0.9671125408057097,cosine,256,10,0.001
43,1.4579168558120728,,1.4579168558120728,0.0009652842676148067,0.9652842676148067,cosine,256,10,0.001
44,1.7134730815887451,,1.7134730815887451,0.0009634085760746613,0.9634085760746612,cosine,256,10,0.001
45,1.111527681350708,,1.111527681350708,0.0009614856803571156,0.9614856803571156,cosine,256,10,0.001
46,1.474850058555603,,1.474850058555603,0.00095951580002392,0.95951580002392,cosine,256,10,0.001
47,1.4289352893829346,,1.4289352893829346,0.000957499160001663,0.9574991600016629,cosine,256,10,0.001
48,1.2708215713500977,,1.2708215713500977,0.0009554359905560886,0.9554359905560885,cosine,256,10,0.001
49,1.2573941946029663,,1.2573941946029663,0.000953326527265804,0.953326527265804,cosine,256,10,0.001
50,1.5030429363250732,1.4241068065166473,1.4241068065166473,0.0009511710109953803,0.9511710109953803,cosine,256,10,0.001
51,1.441314935684204,,1.441314935684204,0.0009489696878678501,0.9489696878678501,cosine,256,10,0.001
52,1.1142076253890991,,1.1142076253890991,0.000946722809236604,0.946722809236604,cosine,256,10,0.001
53,1.4471486806869507,,1.4471486806869507,0.0009444306316566914,0.9444306316566914,cosine,256,10,0.001
54,1.4091037511825562,,1.4091037511825562,0.0009420934168555253,0.9420934168555253,cosine,256,10,0.001
55,1.3171435594558716,,1.3171435594558716,0.0009397114317029974,0.9397114317029974,cosine,256,10,0.001
56,0.9922854900360107,,0.9922854900360107,0.0009372849481810073,0.9372849481810073,cosine,256,10,0.001
57,1.5123450756072998,,1.5123450756072998,0.0009348142433524058,0.9348142433524058,cosine,256,10,0.001
58,1.272565484046936,,1.272565484046936,0.0009322995993293593,0.9322995993293592,cosine,256,10,0.001
59,1.1913646459579468,,1.1913646459579468,0.0009297413032411375,0.9297413032411375,cosine,256,10,0.001
60,0.966882050037384,1.2550197839736938,1.2550197839736938,0.0009271396472013282,0.9271396472013282,cosine,256,10,0.001
61,1.439050316810608,,1.439050316810608,0.0009244949282744832,0.9244949282744832,cosine,256,10,0.001
62,1.2949873208999634,,1.2949873208999634,0.0009218074484421977,0.9218074484421978,cosine,256,10,0.001
63,0.939625084400177,,0.939625084400177,0.0009190775145686302,0.9190775145686302,cosine,256,10,0.001
64,1.2846457958221436,,1.2846457958221436,0.0009163054383654632,0.9163054383654632,cosine,256,10,0.001
65,1.131738305091858,,1.131738305091858,0.0009134915363563116,0.9134915363563115,cosine,256,10,0.001
66,1.2386752367019653,,1.2386752367019653,0.0009106361298405805,0.9106361298405805,cosine,256,10,0.001
67,0.854451060295105,,0.854451060295105,0.000907739544856779,0.907739544856779,cosine,256,10,0.001
68,1.2343015670776367,,1.2343015670776367,0.0009048021121452915,0.9048021121452915,cosine,256,10,0.001
69,1.1817946434020996,,1.1817946434020996,0.0009018241671106134,0.9018241671106134,cosine,256,10,0.001
70,0.8628487586975098,1.167201429605484,1.167201429605484,0.0008988060497830534,0.8988060497830533,cosine,256,10,0.001
71,0.7232171893119812,,0.7232171893119812,0.0008957481047799075,0.8957481047799075,cosine,256,10,0.001
72,1.3225637674331665,,1.3225637674331665,0.0008926506812661105,0.8926506812661105,cosine,256,10,0.001
73,1.035460352897644,,1.035460352897644,0.0008895141329143666,0.8895141329143665,cosine,256,10,0.001
74,0.7148758769035339,,0.7148758769035339,0.0008863388178647659,0.8863388178647659,cosine,256,10,0.001
75,0.8849214911460876,,0.8849214911460876,0.000883125098683892,0.883125098683892,cosine,256,10,0.001
76,0.9286593198776245,,0.9286593198776245,0.0008798733423234219,0.8798733423234218,cosine,256,10,0.001
77,1.048206090927124,,1.048206090927124,0.0008765839200782269,0.8765839200782269,cosine,256,10,0.001
78,0.7515804171562195,,0.7515804171562195,0.0008732572075439775,0.8732572075439774,cosine,256,10,0.001
79,1.1148990392684937,,1.1148990392684937,0.0008698935845742558,0.8698935845742558,cosine,256,10,0.001
80,0.8927800059318542,1.0609718263149261,1.0609718263149261,0.0008664934352371838,0.8664934352371838,cosine,256,10,0.001
81,0.9048198461532593,,0.9048198461532593,0.0008630571477715689,0.8630571477715689,cosine,256,10,0.001
82,0.7940100431442261,,0.7940100431442261,0.0008595851145425734,0.8595851145425734,cosine,256,10,0.001
83,1.151340365409851,,1.151340365409851,0.0008560777319969136,0.8560777319969136,cosine,256,10,0.001
84,1.0426126718521118,,1.0426126718521118,0.0008525354006175926,0.8525354006175926,cosine,256,10,0.001
85,0.4961840510368347,,0.4961840510368347,0.0008489585248781707,0.8489585248781707,cosine,256,10,0.001
86,0.8046990633010864,,0.8046990633010864,0.0008453475131965832,0.8453475131965832,cosine,256,10,0.001
87,1.033157229423523,,1.033157229423523,0.0008417027778885047,0.8417027778885048,cosine,256,10,0.001
88,0.8557840585708618,,0.8557840585708618,0.0008380247351202708,0.8380247351202708,cosine,256,10,0.001
89,0.6112480759620667,,0.6112480759620667,0.0008343138048613576,0.8343138048613576,cosine,256,10,0.001
90,1.0233514308929443,1.1311106532812119,1.1311106532812119,0.0008305704108364302,0.8305704108364301,cosine,256,10,0.001
91,0.8845985531806946,,0.8845985531806946,0.0008267949804769588,0.8267949804769588,cosine,256,10,0.001
92,0.5882641077041626,,0.5882641077041626,0.0008229879448724149,0.8229879448724149,cosine,256,10,0.001
93,0.48292285203933716,,0.48292285203933716,0.0008191497387210473,0.8191497387210472,cosine,256,10,0.001
94,1.0479627847671509,,1.0479627847671509,0.000815280800280247,0.815280800280247,cosine,256,10,0.001
95,0.895410418510437,,0.895410418510437,0.0008113815713165063,0.8113815713165062,cosine,256,10,0.001
96,0.4897921085357666,,0.4897921085357666,0.0008074524970549763,0.8074524970549763,cosine,256,10,0.001
97,0.7404467463493347,,0.7404467463493347,0.0008034940261286298,0.8034940261286299,cosine,256,10,0.001
98,0.7073915004730225,,0.7073915004730225,0.0007995066105270354,0.7995066105270353,cosine,256,10,0.001
99,0.6724013686180115,,0.6724013686180115,0.0007954907055447469,0.7954907055447469,cosine,256,10,0.001
100,0.6714500784873962,1.1003397554159164,1.1003397554159164,0.0007914467697293183,0.7914467697293183,cosine,256,10,0.001
101,1.0933035612106323,,1.0933035612106323,0.0007873752648289441,0.7873752648289442,cosine,256,10,0.001
102,0.916157603263855,,0.916157603263855,0.0007832766557397363,0.7832766557397364,cosine,256,10,0.001
103,0.5305402874946594,,0.5305402874946594,0.0007791514104526405,0.7791514104526405,cosine,256,10,0.001
104,0.5805956125259399,,0.5805956125259399,0.0007750000000000001,0.775,cosine,256,10,0.001
105,0.8391322493553162,,0.8391322493553162,0.0007708228984017721,0.7708228984017721,cosine,256,10,0.001
106,0.9728279709815979,,0.9728279709815979,0.0007666205826114025,0.7666205826114024,cosine,256,10,0.001
107,0.5412285327911377,,0.5412285327911377,0.0007623935324613654,0.7623935324613653,cosine,256,10,0.001
108,0.5367329716682434,,0.5367329716682434,0.000758142230608376,0.7581422306083759,cosine,256,10,0.001
109,0.9726766347885132,,0.9726766347885132,0.0007538671624782777,0.7538671624782777,cosine,256,10,0.001
110,0.9696372151374817,1.0899682641029358,1.0899682641029358,0.000749568816210616,0.749568816210616,cosine,256,10,0.001
